sno,sna,sarea,lat,lng,ar
1001,大鵬華城,新店區,24.99116,121.53398,新北市新店區中正路700巷3號
1002,汐止火車站,汐止區,25.068914,121.662748,南昌街/新昌路口(西側廣場)
1003,汐止區公所,汐止區,25.064162,121.658301,新台五路一段/仁愛路口(新台五路側汐止地政事務所前機車停車場)
1004,國泰綜合醫院,汐止區,25.07315,121.662555,建成路78號對面停車場
1005,裕隆公園,新店區,24.979649,121.546319,寶中路/品牌路口(東南側)
1006,捷運大坪林站(5號出口),新店區,24.98283,121.54362,中興路三段224號(對面)
1007,汐科火車站(北),汐止區,25.064106,121.653019,大同路二段184巷/龍安路202巷(西側)(汐科火車站北站出口前)
1008,興華公園,三重區,25.060125,121.483101,重陽路一段120巷/中華路2巷
1009,三重國民運動中心,三重區,25.054391,121.488489,集美街/重新路四段184巷
1010,捷運三重站(3號出口),三重區,25.055883,121.484739,捷運路/捷運路37巷
1011,樟樹國小,汐止區,25.066688,121.640367,樟樹二路/樟樹一路141巷
1012,金龍國小,汐止區,25.0688,121.628908,中興路/民族六街
1013,白雲國小,汐止區,25.047578,121.618888,民權街二段90號
1014,東勢宜興活動中心,汐止區,25.039031,121.624333,東勢街/芳園街
1015,後港公園,新莊區,25.025358,121.428348,建安街/建安街57巷
1016,福營行政中心,新莊區,25.024125,121.42387,四維路17號-20號
1017,西盛公園,新莊區,25.017113,121.428048,新莊區西盛街/西盛街201巷
1018,忠誠里(北新路2段97巷),新店區,24.974272,121.542779,北新路二段/北新路二段97巷
1019,仁愛廣場,蘆洲區,25.090565,121.471621,民權路139號旁
1020,重陽國小,三重區,25.066245,121.484337,中正北路/三民街175巷
1021,明志國中,三重區,25.063396,121.488982,中正北路107號
1022,三重商工,三重區,25.068681,121.480705,中正北路/中正北路276巷
1023,捷運新莊站(1號出口),新莊區,25.036152,121.452069,中正路/中華路一段(鄰近新莊廟街)
1024,原興廣場,汐止區,25.065042,121.633149,原興路/中興路150巷
1025,文化白雲公園,汐止區,25.056875,121.655207,水源路二段42號訖水源路二段68號
1026,秀山國小,中和區,24.996151,121.521988,更生街/自立路(西南側)
1027,捷運永安市場站,中和區,25.001013,121.511588,中安街/中和路378巷(東南側)
1028,福和國中,永和區,25.005952,121.52093,永貞路/永亨路(東南側)
1029,仁愛公園,永和區,25.009838,121.505825,仁愛路/保生路(鄰近世界宗教博物館)
1030,中和公園,中和區,25.000726,121.51435,安樂路/得和路(西南側)
1031,金龍公園,汐止區,25.069473,121.631525,湖前街31巷2弄/湖前街31巷
1032,重陽公園,蘆洲區,25.085688,121.483618,集賢路221巷重陽活動中心(鄰近蘆洲兒童親子分館)
1033,捷運三民高中站(1號出口),蘆洲區,25.085815,121.472722,三民路105號(鄰近湧蓮寺/紫禁城博物館)
1034,中原公園,蘆洲區,25.083316,121.463894,長興路22號前通道
1035,丹鳳派出所,新莊區,25.027694,121.414662,雙鳳路77巷丹鳳派出所前
1036,小金門友誼公園,新店區,24.977227,121.53814,民族路/建興街
1037,中興寶橋路口,新店區,24.97618,121.54687,中興路三段1號旁
1038,新莊棒球場,新莊區,25.041603,121.446053,和興街75號/復興路一段23號(鄰近新莊綜合運動場)
1039,頂溪國小,永和區,25.015811,121.511261,文化路133號(西側)(鄰近永和親子圖書閱覽室)
1040,永和國小,永和區,25.002272,121.517442,中正路390號至426號對面
1041,秀朗國小,永和區,24.999392,121.522843,民生路15號至23號對面
1042,台北慈濟醫院,新店區,24.985872,121.536887,建國路289號旁空地
1043,捷運頂溪站(1號出口),永和區,25.012176,121.515271,中興街1號對面
1044,保安永平路口,永和區,25.012691,121.506471,保安路248號至250號對面
1045,崇光女中,新店區,24.972127,121.539554,三民路14號至三民路18號
1046,新店高中,新店區,24.974181,121.534209,三民路159巷/三民路108號(對面人行道)
1047,新莊文化藝術中心,新莊區,25.04715,121.444453,中平路133號前(鄰近新莊文化藝術中心)
1048,中華中原路口,新莊區,25.054232,121.451752,中原路/中華路二段
1049,新北高中,三重區,25.087225,121.489525,三信路1號旁
