sno,sna,sarea,lat,lng,ar
1001,大鵬華城,新店區,24.99116,121.53398,新北市新店區中正路700巷3號
1002,汐止火車站,汐止區,25.068914,121.662748,南昌街/新昌路口(西側廣場)
1003,汐止區公所,汐止區,25.064162,121.658301,新台五路一段/仁愛路口(新台五路側汐止地政事務所前機車停車場)
1004,國泰綜合醫院,汐止區,25.07315,121.662555,建成路78號對面停車場
1005,裕隆公園,新店區,24.979649,121.546319,寶中路/品牌路口(東南側)
1006,捷運大坪林站(5號出口),新店區,24.98283,121.54362,中興路三段224號(對面)
1007,汐科火車站(北),汐止區,25.064106,121.653019,大同路二段184巷/龍安路202巷(西側)(汐科火車站北站出口前)
1008,興華公園,三重區,25.060125,121.483101,重陽路一段120巷/中華路2巷
1009,三重國民運動中心,三重區,25.054391,121.488489,集美街/重新路四段184巷
1010,捷運三重站(3號出口),三重區,25.055883,121.484739,捷運路/捷運路37巷
1011,樟樹國小,汐止區,25.066688,121.640367,樟樹二路/樟樹一路141巷
1012,金龍國小,汐止區,25.0688,121.628908,中興路/民族六街
1013,白雲國小,汐止區,25.047578,121.618888,民權街二段90號
1014,東勢宜興活動中心,汐止區,25.039031,121.624333,東勢街/芳園街
1015,後港公園,新莊區,25.025358,121.428348,建安街/建安街57巷
1016,福營行政中心,新莊區,25.024125,121.42387,四維路17號-20號
1017,西盛公園,新莊區,25.017113,121.428048,新莊區西盛街/西盛街201巷
1018,忠誠里(北新路2段97巷),新店區,24.974272,121.542779,北新路二段/北新路二段97巷
1019,仁愛廣場,蘆洲區,25.090565,121.471621,民權路139號旁
1020,重陽國小,三重區,25.066245,121.484337,中正北路/三民街175巷
